00:00;2
00:15;2
00:30;3
00:45;2
01:00;2
01:15;1
01:30;1
01:45;3
02:00;2
02:15;1
02:30;2
02:45;1
03:00;1
03:15;2
03:30;1
03:45;0
04:00;1
04:15;1
04:30;1
04:45;1
05:00;1
05:15;2
05:30;2
05:45;1
06:00;1
06:15;1
06:30;2
06:45;3
07:00;2
07:15;3
07:30;4
07:45;4
08:00;3
08:15;4
08:30;3
08:45;3
09:00;4
09:15;2
09:30;2
09:45;2
10:00;4
10:15;2
10:30;5
10:45;4
11:00;6
11:15;4
11:30;6
11:45;6
12:00;5
12:15;3
12:30;6
12:45;4
13:00;7
13:15;5
13:30;5
13:45;6
14:00;3
14:15;5
14:30;4
14:45;3
15:00;4
15:15;4
15:30;4
15:45;3
16:00;4
16:15;4
16:30;4
16:45;5
17:00;5
17:15;4
17:30;4
17:45;3
18:00;5
18:15;4
18:30;4
18:45;4
19:00;5
19:15;4
19:30;4
19:45;4
20:00;5
20:15;5
20:30;5
20:45;4
21:00;3
21:15;3
21:30;4
21:45;3
22:00;4
22:15;3
22:30;3
22:45;3
23:00;3
23:15;4
23:30;2
23:45;1
